Source,Target,Weight,Max_Weight,Edge_Count,Avg_Text_Similarity,Avg_Time_Score,Min_Time_Delta_Seconds,Edge_Types,Dominant_RT_Source,Query_Context,Example_Tweet_1,Example_Tweet_2
Gmonoona167,Soldierboy67,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
Gmonoona167,macoy98,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
ShorshB,Soldierboy67,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
ShorshB,macoy98,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
Soldierboy67,jovaniesalinas,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
jovaniesalinas,macoy98,0.8446822728282791,0.8446822728282791,1,0.7042673826217651,0.9850971630347931,13.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
Cucu4Anak4,deabrhedaha,0.8443102355292973,0.8443102355292973,1,1.0,0.6886204710585947,323.0,retweet,MaxJo777,anies,"@SumitroYoel Gw lebih dari lu, Kristen, punya darah Tionghoa &amp; Yahudi, tapi ga pernah merasa jadi minoritas. 2012 gw dukung Ahok, tapi setelah liat perangainya yang minus gw...","@SumitroYoel Gw lebih dari lu, Kristen, punya darah Tionghoa &amp; Yahudi, tapi ga pernah merasa jadi minoritas. 2012 gw dukung Ahok, tapi setelah liat perangainya yang minus gw..."
Gulasha31291179,leonwwwww49440,0.8442694544792175,0.8442694544792175,1,0.6885389089584351,1.0,0.0,semantic,,ganjar,ð¤Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Internet Gratis,"ð¾ ...Presiden Ganjar Pranowo, didoakan pimpin Indonesia pada 2024 mendatang.Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Internet Gratis"
anyofthings,hcybl92984327,0.8442332114345413,0.8442332114345413,1,0.7033692598342896,0.9850971630347931,13.0,semantic,,ganjar,"Dengan fokus pada upaya legislatifnya, Ganjar Pranowo Mahfud MD berharap dapat membantu menciptakan transformasi signifikan lapangan kerja yang setara dan mendukung perempuan di...",Ganjar Pranowo Mahfud MD menyoroti pentingnya penyuluhan dan dukungan untuk memastikan bahwa perubahan legislasi ini dapat diimplementasikan dengan efektif di semua tingkat desa...
anyofthings,jttts84589488,0.8442332114345413,0.8442332114345413,1,0.7033692598342896,0.9850971630347931,13.0,semantic,,ganjar,"Dengan fokus pada upaya legislatifnya, Ganjar Pranowo Mahfud MD berharap dapat membantu menciptakan transformasi signifikan lapangan kerja yang setara dan mendukung perempuan di...",Ganjar Pranowo Mahfud MD menyoroti pentingnya penyuluhan dan dukungan untuk memastikan bahwa perubahan legislasi ini dapat diimplementasikan dengan efektif di semua tingkat desa...
